,pm10,so2,co,o3,no2,categori
0,5.0,13.0,28.0,8.0,45.0,BAIK
1,5.0,15.0,32.0,10.0,34.0,BAIK
2,5.0,23.0,29.0,14.0,59.0,SEDANG
3,7.0,19.0,55.0,16.0,56.0,SEDANG
4,6.0,16.0,30.0,13.0,35.0,BAIK
5,10.0,19.0,33.0,16.0,36.0,BAIK
6,7.0,17.0,28.0,17.0,37.0,BAIK
7,7.0,16.0,39.0,11.0,45.0,BAIK
8,6.0,12.0,19.0,11.0,39.0,BAIK
9,5.0,12.0,33.0,11.0,33.0,BAIK
10,5.0,15.0,38.0,13.0,40.0,BAIK
11,5.0,19.0,39.0,20.0,48.0,BAIK
12,4.0,17.0,36.0,12.0,36.0,BAIK
13,6.0,19.0,87.0,17.0,87.0,SEDANG
14,3.0,17.0,42.0,13.0,50.0,BAIK
15,4.0,20.0,36.0,19.0,50.0,BAIK
16,4.0,21.0,57.0,15.0,57.0,SEDANG
17,3.0,15.0,54.0,12.0,54.0,SEDANG
18,7.0,26.0,37.0,14.0,62.0,SEDANG
19,4.0,12.0,51.0,14.0,51.0,SEDANG
20,6.0,15.0,37.0,17.0,43.0,BAIK
21,4.0,7.0,42.0,9.0,42.0,BAIK
22,4.0,12.0,66.0,13.0,66.0,SEDANG
23,4.0,20.0,54.0,17.0,58.0,SEDANG
24,3.0,7.0,63.0,8.0,63.0,SEDANG
25,4.0,10.0,42.0,10.0,49.0,BAIK
26,4.0,9.0,62.0,10.0,62.0,SEDANG
27,6.0,12.0,67.0,14.0,67.0,SEDANG
28,7.0,7.0,56.0,8.0,61.0,SEDANG
29,6.0,9.0,68.0,12.0,68.0,SEDANG
30,11.0,9.0,84.0,10.0,84.0,SEDANG
31,8.0,16.0,33.0,5.0,42.0,BAIK
32,7.0,15.0,40.0,8.0,40.0,BAIK
33,8.0,25.0,33.0,8.0,55.0,SEDANG
34,8.0,18.0,60.0,4.0,60.0,SEDANG
35,8.0,12.0,46.0,3.0,46.0,BAIK
36,8.0,13.0,39.0,7.0,54.0,SEDANG
37,8.0,9.0,43.0,5.0,43.0,BAIK
38,9.0,15.0,50.0,5.0,50.0,BAIK
39,8.0,9.0,42.0,3.0,42.0,BAIK
40,8.0,9.0,40.0,8.0,40.0,BAIK
41,8.0,7.0,40.0,5.0,40.0,BAIK
42,9.0,11.0,46.0,8.0,46.0,BAIK
43,8.0,11.0,49.0,12.0,49.0,BAIK
44,10.0,14.0,92.0,11.0,92.0,SEDANG
45,17.0,16.0,62.0,6.0,62.0,SEDANG
46,11.0,17.0,61.0,6.0,61.0,SEDANG
47,13.0,19.0,63.0,7.0,63.0,SEDANG
48,9.0,11.0,53.0,4.0,53.0,SEDANG
49,9.0,26.0,63.0,8.0,63.0,SEDANG
50,10.0,15.0,109.0,7.0,109.0,TIDAK SEHAT
51,9.0,20.0,60.0,9.0,60.0,SEDANG
52,9.0,6.0,46.0,2.0,46.0,BAIK
53,11.0,14.0,84.0,4.0,84.0,SEDANG
54,17.0,22.0,70.0,6.0,71.0,SEDANG
55,11.0,10.0,65.0,4.0,65.0,SEDANG
56,12.0,9.0,51.0,3.0,51.0,SEDANG
57,12.0,11.0,60.0,6.0,60.0,SEDANG
58,17.0,16.0,124.0,5.0,124.0,TIDAK SEHAT
59,10.0,8.0,80.0,4.0,80.0,SEDANG
60,12.0,13.0,106.0,4.0,106.0,TIDAK SEHAT
61,14.0,14.0,90.0,6.0,90.0,SEDANG
62,16.0,23.0,54.0,8.0,54.0,SEDANG
63,16.0,30.0,55.0,14.0,55.0,SEDANG
64,16.0,51.0,70.0,13.0,70.0,SEDANG
65,16.0,47.0,54.0,12.0,71.0,SEDANG
66,16.0,19.0,38.0,4.0,38.0,BAIK
67,17.0,23.0,67.0,8.0,67.0,SEDANG
69,16.0,24.0,63.0,4.0,63.0,SEDANG
71,16.0,15.0,35.0,4.0,50.0,BAIK
73,17.0,24.0,68.0,5.0,68.0,SEDANG
74,16.0,19.0,75.0,4.0,75.0,SEDANG
75,17.0,45.0,137.0,5.0,137.0,TIDAK SEHAT
76,16.0,35.0,93.0,5.0,93.0,SEDANG
77,16.0,31.0,109.0,5.0,109.0,TIDAK SEHAT
78,16.0,27.0,105.0,5.0,105.0,TIDAK SEHAT
79,16.0,24.0,74.0,7.0,74.0,SEDANG
81,15.0,19.0,47.0,12.0,47.0,BAIK
82,17.0,18.0,55.0,5.0,55.0,SEDANG
83,17.0,23.0,50.0,6.0,50.0,BAIK
84,17.0,21.0,95.0,7.0,95.0,SEDANG
85,17.0,31.0,72.0,10.0,72.0,SEDANG
86,18.0,18.0,97.0,7.0,97.0,SEDANG
87,17.0,22.0,68.0,8.0,68.0,SEDANG
88,16.0,19.0,73.0,4.0,73.0,SEDANG
89,17.0,21.0,112.0,5.0,112.0,TIDAK SEHAT
90,18.0,36.0,73.0,8.0,74.0,SEDANG
91,19.0,21.0,68.0,5.0,68.0,SEDANG
92,18.0,23.0,35.0,7.0,38.0,BAIK
93,21.0,11.0,81.0,6.0,81.0,SEDANG
94,22.0,21.0,105.0,6.0,105.0,TIDAK SEHAT
95,22.0,25.0,108.0,8.0,108.0,TIDAK SEHAT
96,21.0,18.0,172.0,5.0,172.0,TIDAK SEHAT
97,22.0,8.0,66.0,3.0,66.0,SEDANG
98,24.0,10.0,100.0,14.0,100.0,SEDANG
100,23.0,18.0,86.0,16.0,86.0,SEDANG
102,22.0,6.0,55.0,7.0,55.0,SEDANG
106,25.0,28.0,197.0,13.0,197.0,TIDAK SEHAT
107,22.0,21.0,131.0,10.0,131.0,TIDAK SEHAT
108,23.0,18.0,133.0,10.0,133.0,TIDAK SEHAT
109,23.0,16.0,129.0,10.0,129.0,TIDAK SEHAT
110,23.0,13.0,108.0,10.0,108.0,TIDAK SEHAT
111,22.0,27.0,37.0,9.0,73.0,SEDANG
113,6.0,23.0,40.0,7.0,56.0,SEDANG
116,6.0,15.0,63.0,2.0,78.0,SEDANG
120,26.0,19.0,104.0,11.0,104.0,TIDAK SEHAT
121,25.0,22.0,86.0,10.0,86.0,SEDANG
122,25.0,12.0,66.0,12.0,66.0,SEDANG
128,17.0,52.0,95.0,3.0,95.0,SEDANG
129,27.0,40.0,54.0,7.0,54.0,SEDANG
130,24.0,40.0,58.0,5.0,58.0,SEDANG
131,22.0,38.0,59.0,7.0,59.0,SEDANG
132,21.0,39.0,43.0,4.0,43.0,BAIK
133,20.0,36.0,41.0,4.0,41.0,BAIK
134,20.0,46.0,63.0,4.0,63.0,SEDANG
135,19.0,58.0,72.0,10.0,72.0,SEDANG
136,19.0,51.0,69.0,6.0,69.0,SEDANG
137,22.0,59.0,179.0,8.0,179.0,TIDAK SEHAT
138,18.0,63.0,92.0,8.0,92.0,SEDANG
139,19.0,62.0,70.0,9.0,70.0,SEDANG
140,18.0,38.0,101.0,9.0,101.0,TIDAK SEHAT
141,18.0,35.0,90.0,6.0,90.0,SEDANG
151,11.0,12.0,124.0,6.0,124.0,TIDAK SEHAT
152,14.0,11.0,91.0,7.0,91.0,SEDANG
153,9.0,10.0,76.0,5.0,76.0,SEDANG
154,11.0,14.0,96.0,6.0,96.0,SEDANG
